Event_ID,ticker,gvkey,fiscal_month,cusip,name,fiscal_year,event_year,event_date,confound_dum,confound_type,breach_size,breach_type,event_state,hq_state,dif3,dif7
491,CME,149070.0,12,12572Q105,"CME Group, CME ClearPort",2013,2013,2013-11-17,1,Investigation,0,HACK,Illinois,Illinois,0.6153917627518266,1.3431137454528304
492,WAG,11264.0,8,"9,31E+08",Walgreens,2013,2013,2013-12-20,1,Earnings,0,INSD,Maryland,Illinois,,
493,TMUS,17874.0,12,"8,73E+08",T-Mobile Supplier,2013,2013,2013-12-30,1,M&A,0,HACK,,Washington,0.2932385044162286,0.6371510743920202
494,HD,5680.0,1,"4,37E+08",The Home Depot,2013,2014,2014-02-06,1,Other,30000,INSD,Georgia,Georgia,0.5306161213607024,0.6502111300518966
495,DFS,177376.0,11,"2,55E+08",Discover Financial Services,2014,2014,2014-02-21,1,Statement,0,CARD,Utah,Illinois,0.2995778832347943,0.275681456424154
496,AXP,1447.0,12,25816109,American Express,2014,2014,2014-03-25,1,Earnings,0,HACK,New York,New York,0.562270755848453,0.6174413603301101
497,WAG,11264.0,8,"9,31E+08",Walgreens,2014,2014,2014-06-07,1,Earnings,0,INSD,Georgia,Illinois,,
498,D,4029.0,12,25746U109,Dominion Resources Inc.,2014,2014,2014-07-21,1,Earnings,1700,HACK,Virginia,Virginia,0.0831743172351455,0.3137457560439331
499,CVS,7241.0,12,"1,27E+08",CVS/Caremark,2014,2014,2014-07-30,1,Earnings,350,DISC,Georgia,Rhode Island,0.6895793570684379,0.7154725087529299
500,MEET,121662.0,12,"5,85E+08","MeetMe, Inc.",2014,2014,2014-08-18,1,Restatement,0,HACK,Pennsylvania,Pennsylvania,,
501,ANTM,145046.0,12,36752103,Anthem Blue Cross,2014,2014,2014-11-10,1,Investigation,0,DISC,California,California,,
502,SNE,9818.0,12,"8,36E+08",Sony PlayStation,2014,2014,2014-12-26,1,Other,0,HACK,New York,New York,,
503,NVDA,117768.0,1,67066G104,NVIDIA Corporation,2014,2015,2015-01-06,1,Earnings,0,HACK,California,California,0.0918665832122124,0.09822399685178256
504,KODK,4194.0,12,"2,77E+08",Eastman Kodak,2005,2005,2005-06-22,0,none,5800,PORT,New York,New York,,
505,LFG,24503.0,12,"5,15E+08","LandAmerica Credit Services, Inc., Diversified Capital",2006,2006,2006-09-01,0,none,124,HACK,California,Virginia,,
506,SBUX,25434.0,12,"8,55E+08",Starbucks Corp.,2006,2006,2006-11-03,0,none,60080,PORT,Washington,Washington,0.2235559581273573,0.19830567206363786
